file,tags,primary
0.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",beacon
1.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']",beacon
2.png,"['Lighted Beacon', 'Radar Reflector', 'Can topmark']",beacon
3.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']",beacon
4.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",beacon
5.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']",beacon
6.png,"['Lighted Beacon', 'Radar Reflector', 'Cone topmark']",beacon
7.png,"['Lighted Beacon', 'Radar Reflector']",beacon
8.png,['Designated Anchor Berth'],
9.png,['Major Light'],
10.png,"['Green', 'Conical Buoy', 'Cone topmark']",conical buoy
11.png,"['Red', 'Can Buoy', 'Can topmark']",can buoy
12.png,"['Red', 'Can Buoy', 'Can topmark']",can buoy
13.png,"['Red', 'Can Buoy', 'Can topmark']",can buoy
14.png,"['“X” topmark', 'Pillar Buoy', 'Yellow']",
15.png,"['“X” topmark', 'Pillar Buoy', 'Yellow']",
16.png,"['Yellow', 'Pillar Buoy', '“X” topmark']",
17.png,['Major Light'],
18.png,"['Yellow', 'Can Buoy']",can buoy
19.png,"['Pillar Buoy', 'Black/Red/Black']",
20.png,"['Dangerous Wreck, Depth Unknown']",
21.png,"['Dangerous Wreck, Depth Unknown']",
22.png,"['Pillar Buoy', 'Black/Red/Black']",
23.png,"['Dangerous Wreck, Depth Unknown']",
24.png,['Danger Circle'],
25.png,['Danger Circle'],
26.png,['Danger Circle'],
27.png,"['Yellow', 'Mooring Buoy']",
28.png,['Isolated danger beacon on a paper chart'],beacon
29.png,['Mooring Superbuoy'],superbuoy
30.png,"['Pillar Buoy', 'Double cone topmark points upwards']",
31.png,['Danger Circle'],
32.png,['Masts'],
33.png,['Danger Circle'],
34.png,"['Pillar Buoy', '“X” topmark']",
35.png,"['Pillar Buoy', '“X” topmark']",
36.png,"['Light Flare', 'Conical Buoy', 'Cone topmark']",conical buoy
37.png,['Danger Circle'],
38.png,['Danger Circle'],
39.png,['Underwater Hazard'],
40.png,['Pilot Station'],
41.png,['Pilot Station'],
42.png,['Pilot Station'],
43.png,['Pilot Station'],
44.png,['Pilot Station'],
45.png,['Pilot Station'],
46.png,['Pilot Station'],
47.png,"['Dangerous Wreck, Depth Unknown']",
48.png,"['Dangerous Wreck, Depth Unknown']",
49.png,"['Dangerous Wreck, Depth Unknown']",
50.png,"['Dangerous Wreck, Depth Unknown']",
51.png,"['Dangerous Wreck, Depth Unknown']",
52.png,"['Dangerous Wreck, Depth Unknown']",
53.png,['Established (mandatory) direction of traffic flow'],
54.png,['Established (mandatory) direction of traffic flow'],
55.png,['Precaution Sign'],
56.png,['Established (mandatory) direction of traffic flow'],
57.png,['Established (mandatory) direction of traffic flow'],
58.png,['Precaution Sign'],
59.png,['Established (mandatory) direction of traffic flow'],
60.png,['Established (mandatory) direction of traffic flow'],
61.png,['Precaution Sign'],
62.png,['Established (mandatory) direction of traffic flow'],
63.png,['Established (mandatory) direction of traffic flow'],
64.png,['Precaution Sign'],
65.png,['Established (mandatory) direction of traffic flow'],
66.png,['Established (mandatory) direction of traffic flow'],
67.png,['Precaution Sign'],
68.png,['Masts'],
69.png,"['Dangerous Wreck, Depth Unknown']",
70.png,"['Dangerous Wreck, Depth Unknown']",
71.png,['Stranded Wreck'],stranded wreck
72.png,"['Dangerous Wreck, Depth Unknown']",
73.png,['Stranded Wreck'],stranded wreck
74.png,['Masts'],
75.png,"['Dangerous Wreck, Depth Unknown']",
76.png,['Stranded Wreck'],stranded wreck
77.png,['Stranded Wreck'],stranded wreck
78.png,['Stranded Wreck'],stranded wreck
79.png,['Stranded Wreck'],stranded wreck
80.png,['Danger Circle'],
81.png,['Danger Circle'],
82.png,"['Dangerous Wreck, Depth Unknown']",
83.png,"['Dangerous Wreck, Depth Unknown']",
84.png,"['Dangerous Wreck, Depth Unknown']",
85.png,['Stranded Wreck'],stranded wreck
86.png,['Stranded Wreck'],stranded wreck
87.png,['Stranded Wreck'],stranded wreck
88.png,['Danger Circle'],
89.png,['Danger Circle'],
90.png,['Danger Circle'],
91.png,['Danger Circle'],
92.png,"['Platform', 'Light Flare']",
93.png,"['Light Flare', 'Conical Buoy', 'Yellow']",conical buoy
94.png,"['Conical Buoy', 'Yellow', 'Light Flare']",conical buoy
95.png,"['Lighted Beacon', 'Light Flare', 'Can topmark', 'Radar Reflector']",beacon
96.png,"['Lighted Beacon', 'Light Flare', 'Cone topmark', 'Radar Reflector']",beacon
97.png,"['Lattice Beacon', 'Radar Reflector']",beacon
98.png,['Lattice Beacon'],beacon
99.png,['Foul Ground'],
100.png,['Foul Ground'],
101.png,['Foul Ground'],
102.png,['Foul Ground'],
103.png,['Foul Ground'],
104.png,"['Dangerous Wreck, Depth Unknown']",
105.png,['Danger Circle'],
106.png,['Isolated danger beacon on a paper chart'],beacon
107.png,['Isolated danger beacon on a paper chart'],beacon
108.png,['Isolated danger beacon on a paper chart'],beacon
109.png,['Major Light'],
110.png,['Major Light'],
111.png,"['Green', 'Conical Buoy', 'Cone topmark']",conical buoy
112.png,"['Green', 'Conical Buoy', 'Cone topmark']",conical buoy
113.png,"['Green', 'Conical Buoy', 'Cone topmark']",conical buoy
