file,tags,secondary
0.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",cone topmark
1.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']",can topmark
2.png,"['Lighted Beacon', 'Radar Reflector', 'Can topmark']",can topmark
3.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']",can topmark
4.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",cone topmark
5.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']",can topmark
6.png,"['Lighted Beacon', 'Radar Reflector', 'Cone topmark']",cone topmark
7.png,"['Lighted Beacon', 'Radar Reflector']",radar reflector
8.png,['Designated Anchor Berth'],
9.png,['Major Light'],
10.png,"['Green', 'Conical Buoy', 'Cone topmark']",cone topmark
11.png,"['Red', 'Can Buoy', 'Can topmark']",can topmark
12.png,"['Red', 'Can Buoy', 'Can topmark']",can topmark
13.png,"['Red', 'Can Buoy', 'Can topmark']",can topmark
14.png,"['“X” topmark', 'Pillar Buoy', 'Yellow']",
15.png,"['“X” topmark', 'Pillar Buoy', 'Yellow']",
16.png,"['Yellow', 'Pillar Buoy', '“X” topmark']",
17.png,['Major Light'],
18.png,"['Yellow', 'Can Buoy']",
19.png,"['Pillar Buoy', 'Black/Red/Black']",
20.png,"['Dangerous Wreck, Depth Unknown']",
21.png,"['Dangerous Wreck, Depth Unknown']",
22.png,"['Pillar Buoy', 'Black/Red/Black']",
23.png,"['Dangerous Wreck, Depth Unknown']",
24.png,['Danger Circle'],
25.png,['Danger Circle'],
26.png,['Danger Circle'],
27.png,"['Yellow', 'Mooring Buoy']",
28.png,['Isolated danger beacon on a paper chart'],
29.png,['Mooring Superbuoy'],
30.png,"['Pillar Buoy', 'Double cone topmark points upwards']",cone topmark
31.png,['Danger Circle'],
32.png,['Masts'],
33.png,['Danger Circle'],
34.png,"['Pillar Buoy', '“X” topmark']",
35.png,"['Pillar Buoy', '“X” topmark']",
36.png,"['Light Flare', 'Conical Buoy', 'Cone topmark']",cone topmark
37.png,['Danger Circle'],
38.png,['Danger Circle'],
39.png,['Underwater Hazard'],
40.png,['Pilot Station'],
41.png,['Pilot Station'],
42.png,['Pilot Station'],
43.png,['Pilot Station'],
44.png,['Pilot Station'],
45.png,['Pilot Station'],
46.png,['Pilot Station'],
47.png,"['Dangerous Wreck, Depth Unknown']",
48.png,"['Dangerous Wreck, Depth Unknown']",
49.png,"['Dangerous Wreck, Depth Unknown']",
50.png,"['Dangerous Wreck, Depth Unknown']",
51.png,"['Dangerous Wreck, Depth Unknown']",
52.png,"['Dangerous Wreck, Depth Unknown']",
53.png,['Established (mandatory) direction of traffic flow'],
54.png,['Established (mandatory) direction of traffic flow'],
55.png,['Precaution Sign'],precaution sign
56.png,['Established (mandatory) direction of traffic flow'],
57.png,['Established (mandatory) direction of traffic flow'],
58.png,['Precaution Sign'],precaution sign
59.png,['Established (mandatory) direction of traffic flow'],
60.png,['Established (mandatory) direction of traffic flow'],
61.png,['Precaution Sign'],precaution sign
62.png,['Established (mandatory) direction of traffic flow'],
63.png,['Established (mandatory) direction of traffic flow'],
64.png,['Precaution Sign'],precaution sign
65.png,['Established (mandatory) direction of traffic flow'],
66.png,['Established (mandatory) direction of traffic flow'],
67.png,['Precaution Sign'],precaution sign
68.png,['Masts'],
69.png,"['Dangerous Wreck, Depth Unknown']",
70.png,"['Dangerous Wreck, Depth Unknown']",
71.png,['Stranded Wreck'],
72.png,"['Dangerous Wreck, Depth Unknown']",
73.png,['Stranded Wreck'],
74.png,['Masts'],
75.png,"['Dangerous Wreck, Depth Unknown']",
76.png,['Stranded Wreck'],
77.png,['Stranded Wreck'],
78.png,['Stranded Wreck'],
79.png,['Stranded Wreck'],
80.png,['Danger Circle'],
81.png,['Danger Circle'],
82.png,"['Dangerous Wreck, Depth Unknown']",
83.png,"['Dangerous Wreck, Depth Unknown']",
84.png,"['Dangerous Wreck, Depth Unknown']",
85.png,['Stranded Wreck'],
86.png,['Stranded Wreck'],
87.png,['Stranded Wreck'],
88.png,['Danger Circle'],
89.png,['Danger Circle'],
90.png,['Danger Circle'],
