file,tags
0.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']"
1.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']"
10.png,"['Green', 'Conical Buoy', 'Cone topmark']"
100.png,['Foul Ground']
1000.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']
1001.png,['Danger Circle']
1002.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']
1003.png,"['Dangerous Wreck, Depth Unknown']"
1004.png,['Danger Circle']
1005.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']
1006.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']
1007.png,"['Light Flare', 'Red', 'Can Buoy']"
1008.png,"['Light Flare', 'Red', 'Can Buoy']"
1009.png,['Stranded Wreck']
101.png,['Foul Ground']
1010.png,['Stranded Wreck']
1011.png,['Stranded Wreck']
1012.png,['Stranded Wreck']
1013.png,['Stranded Wreck']
1014.png,['Stranded Wreck']
1015.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']
1016.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']
1017.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']
1018.png,['Platform']
1019.png,['Underwater Hazard']
102.png,['Foul Ground']
1020.png,['Danger Circle']
1021.png,['Platform']
1022.png,['Platform']
1023.png,['Platform']
1024.png,['Platform']
1025.png,['Platform']
1026.png,['Danger Circle']
1027.png,['Mooring Buoy']
1028.png,['Position of Point Feature']
1029.png,"['Light Flare', 'Lattice Beacon']"
103.png,['Foul Ground']
1030.png,"['Light Flare', 'Lattice Beacon']"
1031.png,"['Light Flare', 'Lattice Beacon']"
1032.png,"['Light Flare', 'Lattice Beacon']"
1033.png,"['Light Flare', 'Lattice Beacon']"
1034.png,"['Light Flare', 'Lattice Beacon']"
1035.png,"['Danger Circle', 'degrees']"
1036.png,['Danger Circle']
1037.png,"['Underwater Hazard', 'degrees']"
1038.png,"['Danger Circle', 'degrees']"
1039.png,"['Danger Circle', 'degrees']"
104.png,"['Dangerous Wreck, Depth Unknown']"
1040.png,['Danger Circle']
1041.png,['Danger Circle']
1042.png,['Danger Circle']
1043.png,['Danger Circle']
1044.png,['Danger Circle']
1045.png,['Danger Circle']
1046.png,"['Danger Circle', 'degrees']"
1047.png,"['Danger Circle', 'degrees']"
1048.png,"['Danger Circle', 'degrees']"
1049.png,"['degrees', 'Danger Circle']"
105.png,['Danger Circle']
1050.png,['Danger Circle']
1051.png,['Danger Circle']
1052.png,"['degrees', 'Danger Circle']"
1053.png,"['Danger Circle', 'degrees']"
1054.png,['Danger Circle']
1055.png,['Danger Circle']
1056.png,['Danger Circle']
1057.png,['Danger Circle']
1058.png,['Danger Circle']
1059.png,['Danger Circle']
106.png,['Isolated danger beacon on a paper chart']
1060.png,"['Danger Circle', 'degrees']"
1061.png,"['Danger Circle', 'degrees']"
1062.png,"['Danger Circle', 'degrees']"
1063.png,"['degrees', 'Danger Circle']"
1064.png,['Danger Circle']
1065.png,['Danger Circle']
1066.png,['Danger Circle']
1067.png,['Danger Circle']
1068.png,['Danger Circle']
1069.png,['Danger Circle']
107.png,['Isolated danger beacon on a paper chart']
1070.png,['Danger Circle']
1071.png,"['Light Flare', 'Lattice Beacon']"
1072.png,"['Light Flare', 'Lattice Beacon']"
1073.png,"['Light Flare', 'Lattice Beacon']"
1074.png,"['Lattice Beacon', 'Light Flare', 'Can topmark']"
1075.png,"['Cone topmark', 'Lattice Beacon', 'Light Flare']"
1076.png,"['Light Flare', 'Lattice Beacon', 'Cone topmark']"
1077.png,"['Light Flare', 'Can Buoy', 'Can topmark']"
1078.png,"['Light Flare', 'Conical Buoy', 'Cone topmark']"
1079.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']
108.png,['Isolated danger beacon on a paper chart']
1080.png,"['Light Flare', 'Yellow', 'Pillar Buoy', 'Double cone topmark points upwards']"
1081.png,['Stranded Wreck']
1082.png,['Stranded Wreck']
1083.png,['Stranded Wreck']
1084.png,['Stranded Wreck']
1085.png,['Stranded Wreck']
1086.png,['Stranded Wreck']
1087.png,['Stranded Wreck']
1088.png,['Chimney']
1089.png,['Chimney']
109.png,['Major Light']
1090.png,['Tower']
1091.png,['Beacon']
1092.png,['Chimney']
1093.png,['Chimney']
1094.png,['Conical Buoy']
1095.png,['Beacon']
1096.png,['Water Tower']
1097.png,['Beacon']
1098.png,['Chimney']
1099.png,['Chimney']
11.png,"['Red', 'Can Buoy', 'Can topmark']"
110.png,['Major Light']
1100.png,['Tower']
1101.png,['Beacon']
1102.png,['Religious Building (Non-Christian)']
1103.png,['Tower']
1104.png,['Chimney']
1105.png,"['Light Flare', 'Green', 'Cone topmark', 'Conical Buoy']"
1106.png,"['Dangerous Wreck, Depth Unknown']"
1107.png,"['Dangerous Wreck, Depth Unknown']"
1108.png,['Danger Circle']
1109.png,['Danger Circle']
111.png,"['Green', 'Conical Buoy', 'Cone topmark']"
1110.png,['Danger Circle']
1111.png,['Danger Circle']
1112.png,['Danger Circle']
1113.png,"['Green', 'Conical Buoy']"
1114.png,"['Conical Buoy', 'Red']"
1115.png,"['Green', 'Conical Buoy']"
1116.png,"['Conical Buoy', 'Red']"
1117.png,"['Conical Buoy', 'Green']"
1118.png,"['Red', 'Conical Buoy']"
1119.png,[None]
112.png,"['Green', 'Conical Buoy', 'Cone topmark']"
1120.png,['Platform']
1121.png,['Platform']
1122.png,['Platform']
1123.png,['Platform']
1124.png,"['Dangerous Wreck, Depth Unknown']"
1125.png,"['Dangerous Wreck, Depth Unknown']"
1126.png,"['Dangerous Wreck, Depth Unknown']"
1127.png,"['Dangerous Wreck, Depth Unknown']"
1128.png,"['Dangerous Wreck, Depth Unknown']"
1129.png,"['Dangerous Wreck, Depth Unknown']"
113.png,"['Green', 'Conical Buoy', 'Cone topmark']"
1130.png,"['Dangerous Wreck, Depth Unknown']"
1131.png,"['Dangerous Wreck, Depth Unknown']"
1132.png,"['Dangerous Wreck, Depth Unknown']"
1133.png,"['Dangerous Wreck, Depth Unknown']"
1134.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']"
1135.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']"
1136.png,"['Light Flare', None, 'Can topmark']"
1137.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']"
1138.png,"['Light Flare', 'Lattice Beacon']"
1139.png,"['Position of point feature', 'Double ball topmark']"
114.png,"['Cone topmark', 'Conical Buoy', 'Green']"
1140.png,"['Double ball topmark', 'Position of point feature']"
1141.png,"['Underwater Hazard', 'Red']"
1142.png,"['Underwater Hazard', 'Red']"
1143.png,"['Black/Yellow', 'Double cone topmark points upwards', 'Beacon']"
1144.png,"['Black/Yellow', 'Double cone topmark points upwards', 'Beacon']"
1145.png,"['Underwater Hazard', 'Red']"
1146.png,"['Double cone topmark points upwards', 'Beacon', 'Black/Yellow']"
1147.png,"['Double cone topmark points upwards', 'Black/Yellow', 'Beacon']"
1148.png,['Position of Point Feature']
1149.png,['Position of Point Feature']
115.png,['Major Light']
1150.png,['Position of Point Feature']
1151.png,"['White', 'Beacon', 'Ball topmark']"
1152.png,['Position of Point Feature']
1153.png,['Position of Point Feature']
1154.png,"['Beacon represented as a star', 'Yellow', '“X” topmark', 'Radar Reflector']"
1155.png,"['Yellow', 'Spar Buoy']"
1156.png,"['Yellow', 'Spar Buoy']"
1157.png,['Rocks']
1158.png,['Danger Circle']
1159.png,['Fish Haven']
116.png,['Major Light']
1160.png,['Position of Point Feature']
1161.png,['Position of Point Feature']
1162.png,"['Offshore Platform', 'Red']"
1163.png,"['Green', 'Beacon', 'Can topmark']"
1164.png,['Danger Circle']
1165.png,['Danger Circle']
1166.png,"['Yellow', 'Conical Buoy']"
1167.png,"['“X” topmark', 'Pillar Buoy', 'Yellow']"
1168.png,"['“X” topmark', 'Pillar Buoy', 'Yellow']"
1169.png,['Rock']
117.png,"['Green', 'Conical Buoy', 'Cone topmark']"
1170.png,['Rock']
1171.png,['Danger Circle']
1172.png,['Rock']
1173.png,"['Pillar Buoy', 'White with Blue Horizontal Band(s)']"
1174.png,"['Pillar Buoy', 'White with Blue Horizontal Band(s)']"
1175.png,"['Double ball topmark', 'Lighted Beacon', 'Black/Red/Black']"
1176.png,"['Pillar Buoy', 'Black/Red/Black', 'Double ball topmark']"
1177.png,['Fish Haven']
1178.png,['Fish Haven']
1179.png,['Minor Light']
118.png,"['Green', 'Conical Buoy', 'Cone topmark']"
1180.png,['Minor Light']
