file,tags,tertiary
0.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",
1.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']",
2.png,"['Lighted Beacon', 'Radar Reflector', 'Can topmark']",
3.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']",
4.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",
5.png,"['Lighted Beacon', 'Can topmark', 'Radar Reflector']",
6.png,"['Lighted Beacon', 'Radar Reflector', 'Cone topmark']",
7.png,"['Lighted Beacon', 'Radar Reflector']",
8.png,['Designated Anchor Berth'],designated anchor berth
9.png,['Major Light'],
10.png,"['Green', 'Conical Buoy', 'Cone topmark']",
11.png,"['Red', 'Can Buoy', 'Can topmark']",
12.png,"['Red', 'Can Buoy', 'Can topmark']",
13.png,"['Red', 'Can Buoy', 'Can topmark']",
14.png,"['“X” topmark', 'Pillar Buoy', 'Yellow']",
15.png,"['“X” topmark', 'Pillar Buoy', 'Yellow']",
16.png,"['Yellow', 'Pillar Buoy', '“X” topmark']",
17.png,['Major Light'],
18.png,"['Yellow', 'Can Buoy']",
19.png,"['Pillar Buoy', 'Black/Red/Black']",
20.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
21.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
22.png,"['Pillar Buoy', 'Black/Red/Black']",
23.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
24.png,['Danger Circle'],danger circle
25.png,['Danger Circle'],danger circle
26.png,['Danger Circle'],danger circle
27.png,"['Yellow', 'Mooring Buoy']",
28.png,['Isolated danger beacon on a paper chart'],
29.png,['Mooring Superbuoy'],
30.png,"['Pillar Buoy', 'Double cone topmark points upwards']",
31.png,['Danger Circle'],danger circle
32.png,['Masts'],
33.png,['Danger Circle'],danger circle
34.png,"['Pillar Buoy', '“X” topmark']",
35.png,"['Pillar Buoy', '“X” topmark']",
36.png,"['Light Flare', 'Conical Buoy', 'Cone topmark']",
37.png,['Danger Circle'],danger circle
38.png,['Danger Circle'],danger circle
39.png,['Underwater Hazard'],hazard
40.png,['Pilot Station'],pilot station
41.png,['Pilot Station'],pilot station
42.png,['Pilot Station'],pilot station
43.png,['Pilot Station'],pilot station
44.png,['Pilot Station'],pilot station
45.png,['Pilot Station'],pilot station
46.png,['Pilot Station'],pilot station
47.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
48.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
49.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
50.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
51.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
52.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
53.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
54.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
55.png,['Precaution Sign'],precaution sign
56.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
57.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
58.png,['Precaution Sign'],precaution sign
59.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
60.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
61.png,['Precaution Sign'],precaution sign
62.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
63.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
64.png,['Precaution Sign'],precaution sign
65.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
66.png,['Established (mandatory) direction of traffic flow'],established (mandatory) direction of traffic flow
67.png,['Precaution Sign'],precaution sign
68.png,['Masts'],
69.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
70.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
71.png,['Stranded Wreck'],
72.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
73.png,['Stranded Wreck'],
74.png,['Masts'],
75.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
76.png,['Stranded Wreck'],
77.png,['Stranded Wreck'],
78.png,['Stranded Wreck'],
79.png,['Stranded Wreck'],
80.png,['Danger Circle'],danger circle
81.png,['Danger Circle'],danger circle
82.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
83.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
84.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
85.png,['Stranded Wreck'],
86.png,['Stranded Wreck'],
87.png,['Stranded Wreck'],
88.png,['Danger Circle'],danger circle
89.png,['Danger Circle'],danger circle
90.png,['Danger Circle'],danger circle
91.png,['Danger Circle'],danger circle
92.png,"['Platform', 'Light Flare']",platform
93.png,"['Light Flare', 'Conical Buoy', 'Yellow']",
94.png,"['Conical Buoy', 'Yellow', 'Light Flare']",
95.png,"['Lighted Beacon', 'Light Flare', 'Can topmark', 'Radar Reflector']",
96.png,"['Lighted Beacon', 'Light Flare', 'Cone topmark', 'Radar Reflector']",
97.png,"['Lattice Beacon', 'Radar Reflector']",
98.png,['Lattice Beacon'],
99.png,['Foul Ground'],foul ground
100.png,['Foul Ground'],foul ground
101.png,['Foul Ground'],foul ground
102.png,['Foul Ground'],foul ground
103.png,['Foul Ground'],foul ground
104.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
105.png,['Danger Circle'],danger circle
106.png,['Isolated danger beacon on a paper chart'],
107.png,['Isolated danger beacon on a paper chart'],
108.png,['Isolated danger beacon on a paper chart'],
109.png,['Major Light'],
110.png,['Major Light'],
111.png,"['Green', 'Conical Buoy', 'Cone topmark']",
112.png,"['Green', 'Conical Buoy', 'Cone topmark']",
113.png,"['Green', 'Conical Buoy', 'Cone topmark']",
114.png,"['Cone topmark', 'Conical Buoy', 'Green']",
115.png,['Major Light'],
116.png,['Major Light'],
117.png,"['Green', 'Conical Buoy', 'Cone topmark']",
118.png,"['Green', 'Conical Buoy', 'Cone topmark']",
119.png,['Fishery Zone'],fishery zone
120.png,['Fishery Zone'],fishery zone
121.png,['Fishery Zone'],fishery zone
122.png,['Fishery Zone'],fishery zone
123.png,['Fishery Zone'],fishery zone
124.png,['Fish Haven'],
125.png,['Fish Haven'],
126.png,['Fish Haven'],
127.png,['Fish Haven'],
128.png,['Fishery Zone'],fishery zone
129.png,['Fishery Zone'],fishery zone
130.png,['Fishery Zone'],fishery zone
131.png,['Fishery Zone'],fishery zone
132.png,['Fishery Zone'],fishery zone
133.png,['Fish Haven'],
134.png,['Fish Haven'],
135.png,['Fish Haven'],
136.png,['Fish Haven'],
137.png,['Danger Circle'],danger circle
138.png,['Danger Circle'],danger circle
139.png,['Danger Circle'],danger circle
140.png,['Danger Circle'],danger circle
141.png,"['Light Flare', 'Lattice Beacon']",
142.png,"['Light Flare', 'Red', 'Can Buoy', 'Can topmark']",
143.png,"['Light Flare', 'Green', 'Cone topmark', 'Conical Buoy']",
144.png,"['Light Flare', 'Lattice Beacon']",
145.png,"['Light Flare', 'Lattice Beacon']",
146.png,['Underwater Hazard'],hazard
147.png,['Underwater Hazard'],hazard
148.png,['Tidal Stream Data Position ”B”'],
149.png,['Tidal Stream Data Position ”B”'],
150.png,['Tidal Stream Data Position “C”'],
151.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
152.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
153.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
154.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
155.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
156.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
157.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
158.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
159.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
160.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
161.png,['Stranded Wreck'],
162.png,['Stranded Wreck'],
163.png,['Stranded Wreck'],
164.png,"['Prohibited Area Boundary', 'Area Where Anchoring is Prohibited', 'Fishing Prohibited Area']",area where anchoring is prohibited
